ID,Codigo,Descripcion,CodigoISO
1,000,Africaans,
2,001,Albanés,
3,024,Alemán,
4,002,Alyawarr (Alyawarra),
5,004,Armenio,
6, 005,Arrernte (Aranda),
7,006,Asirios (incluido el arameo),
8,008,Bengalí,
9,013,Birmano,
10,009,Bisaya,
11,010,Bosnio,
12,012,Burarra,
13,011,Búlgaro,
14,038,Canada,
15,014,Cantonés,
16,015,Cebuano,
17,017,Checo,
18,063,Cingaleses,
19,040,Coreano,
20,050,Criollo Mauriciano,
21,016,Croata,
22,018,Danés,
23,064,Eslovaco,
24,065,Esloveno,
25,067,Español,
26,020,Estonio,
27,022,Finlandés,
28,021,Fiyiano,
29,023,Francés,
30,084,Galés,
31,025,Gilbertese,
32,026,Griego,
33,027,Gujarati,
34,028,Hakka,
35,029,Hebreo,
36,030,Hindi,
37,031,Hmong,
38,032,Hokkien,
39,033,Húngaro,
40,007,"Idiomas indígenas australianos, no clasificados en otra parte",
41,096,Inadecuadamente descrito,
42,034,Indonesio,
43,019,Inglés,
44,035,Irlandesa,
45,036,Italiano,
46,037,Japonés,
47,039,Khmer,
48,041,Kriol (estrecho criollo de Torres),
49,042,Kuurinji (Gurindji),
50,043,Lao,
51,044,Letón,
52,045,Lituano,
53,046,Macedónio,
54,047,Malayo,
55,048,Maltés,
56,049,Mandarín,
57,051,Neerlandés,
58,052,Noruego,
59,098,No se indica,
60,097,"No verbal, así descrito (incluidos los lenguajes de signos, por ejemplo, Auslan, Makaton)",
61,095,Otros Idiomas,
62,053,Persa,
63,054,Pintupi,
64,055,Pitjantjatjara,
65,056,Polaco,
66,057,Portugués,
67,058,Punjabi,
68,059,Rumano,
69,060,Ruso,
70,061,Samoano,
71,062,Serbio,
72,066,Somalí,
73,069,Sueco,
74,068,Swahili,
75,070,Tagalo (Filipino),
76,074,Tailandés,
77,071,Tamil,
78,072,Telugu,
79,073,Teochew,
80,075,Timorenses,
81,076,Tiwi,
82,077,Tongano,
83,078,Turco,
84,079,Ucraniano,
85,080,Urdu,
86,081,Vietnamita,
87,082,Walmajarri (Walmadjari),
88,083,Warlpiri,
89,085,Wik-Mungkan,
90,086,Yídish,
91,003,Árabe (incluyendo libanés),
